Custom,自定义
Close,关闭
Cancel,取消
Back,返回
Price,价格
ID,ID
Configure,配置
No,否
Qty,数量
Subtotal,小计
Incl. Tax,含税
Edit,编辑
--Please Select--,"""--请选择--"""
Customer,客户
First Name,名字
Last Name,姓
Email,邮箱
-- Please Select --,--请选择--
Yes,是
Status,状态
Enabled,激活
Sort Order,排序
Title,标题
Are you sure you want to do this?,您确定要这样做吗？
Order,订单
View,查看
Active,自动的
Position,位置
Dynamic,动态
N/A,N/A
Canceled,已取消
General Information,基本信息
Static,静态
Advanced Settings,高级设置
Learn More,了解更多
Start Date,起始日期
Product Name,产品名称
3D Secure Card Validation,3D安全卡验证
Merchant Liability,商家责任
Billing Information,账单信息
Shipping Information,收货信息
Shipping Method,运送方式
Please agree to all the terms and conditions before placing the order.,请在下订单前同意所有的条款和条件。
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>.","需要帐户确认. 请查看电子邮件确认链接. 请重新发送确认邮件 <a href=""%1"">点击这里</a>."
Password,密码
Continue,继续
Order #,订单 #
Login,登录
Shipping Address,送货地址
Payment Method,付款方式
Place Order,下订单
"Sorry, no quotes are available for this order at this time.",抱歉，当前该订单中没有报价可用。
Sales,销售
Created,已创建
Display,显示
User,用户
Daily,每天
Date,日期
Order Total,订单总数
Never,永不
Updated,更新
Reports,报告
Order Status,订单状态
View Order,查看订单
Event,事件
Please Select,请选择
Submitting order information...,正在提交订单信息...
Authorization,授权
You notified customer about invoice #%1.,您已通知客户关于发票 #%1.
Note: %1,注意: %1
"IPN ""%1""","IPN ""%1"""
Billing Agreements,记账协议
Reference ID,参考ID
Billing Agreement #%1,帐单协议 #%1
Related Orders,相关订单
Billing Agreement View,记账协议视图
View Transaction Details,查看交易详情
Reference Information,参考信息
Transaction Information,交易信息
PayPal Fee Information,PayPal费用信息
PayPal Settlement Reports,PayPal处理报告
We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?,我们正在连接到Paypal SFTP服务器以检索新报告. 您确定要继续吗？
Fetch Updates,获取更新
button_label,按钮名称
sandbox_button_label,sandbox_button_label
Help,帮助
There is already another PayPal solution enabled. Enable this solution instead?,已启动另外一个paypal解决方案.启动此决绝方案作为替代？
The following error(s) occured:,发生了以下错误:
Some PayPal solutions conflict.,一些paypal解决冲突.
PayPal Express Checkout is not enabled.,未启用paypal快速结账
Please re-enable the previously enabled payment solutions.,请重新启用先前已启用的支付解决方案
View Demo,查看演示
See terms,见条款
You will be redirected to the PayPal website.,您将被重定向到PayPal网站。
Would you like to sign a billing agreement ' 'to streamline further purchases with PayPal?,您愿意签账单协议吗 ' '为简化用paypal进一步购物
You will be redirected to the PayPal website when you place an order.,在您下单时，您会被重定向到PayPal网站。
Click here if you are not redirected within 10 seconds.,如果在10秒内没有重定向，请点击这里
You will be redirected to the PayPal website in a few seconds.,几秒钟后，您将被重定向到PayPal网站。
You canceled the billing agreement.,你取消账单协议。
We could not cancel the billing agreement.,您不能取消账单协议
You deleted the billing agreement.,您已删除账单协议
We could not delete the billing agreement.,我们不能删除账单协议
Please specify the correct billing agreement ID and try again.,请指定正确的账单协议 ID 并重试
View Transaction,查看交易
We found nothing to fetch because of an empty configuration.,因为空的配置我们一无所获
We fetched %1 report rows from '%2@%3'.,我们从'%2@%3'获取到%1的报告行
We couldn't fetch reports from '%1@%2'.,我们不能从'%2@%3'获取报告
Billing Agreement # %1,账单协议 # %1
We couldn't start the billing agreement wizard.,不能开始账单协议向导
"The billing agreement ""%1"" has been created.","已创建账单协议 ""%1"""
We couldn't finish the billing agreement wizard.,无法完成账单协议向导
"The billing agreement ""%1"" has been canceled.","已取消账单协议 ""%1"""
We couldn't cancel the billing agreement.,我们不能取消账单协议
"To proceed to Checkout, please log in using your email address.",要结帐，请登录使用您的邮箱地址。
We can't start Express Checkout.,不能开始快速结账
Express Checkout and Order have been canceled.,快速结账且订单已取消。
Express Checkout has been canceled.,快速结账已被取消。
Unable to cancel Express Checkout,无法取消快速结账
We can't process Express Checkout approval.,我们无法获准快速结账
We can't initialize Express Checkout review.,我们不能初始化快速结账评价。
We can't update shipping method.,无法更新送货方式
We can't place the order.,无法下订单
We can't initialize Express Checkout.,我们不能初始化快速结账。
PayPal Express Checkout Token does not exist.,PayPal快速结账令牌不存在。
A wrong PayPal Express Checkout Token is specified.,错误Paypal快速结账安全令牌
Your payment has been declined. Please try again.,你的付款已经被拒绝，请重试
We can't contact the PayPal gateway.,我们无法联系到paypal网关。
PayPal response hasn't required fields.,PayPal的响应缺少必须字段。
Something went wrong while processing your order.,处理订单时出错
PayPal gateway has rejected request. %1,PayPal网关拒绝了请求t. %1
PayPal gateway rejected the request. %1,PayPal 网关拒绝请求. %1
I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.,我很抱歉，但我们不能处理你的付款。请尝试另一种付款方式或联系我们，以便我们能帮助您。
I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.,我很抱歉，但我们不能完成您的交易。请联系我们，以便我们能帮助您。
The payment method code is not set.,支付方法代码未设置。
The reference ID is not set.,未设置参考ID。
Unable to save Billing Agreement:,无法保存记账协议：
The customer ID is not set.,客户ID未设置
The Billing Agreement status is not set.,账单协议状态未设置
The PayPal certificate does not exist.,paypal证书不存在。
We prefer PayPal (150 X 60),我们喜欢PayPal（150X60）
We prefer PayPal (150 X 40),我们喜欢PayPal（150X40）
Now accepting PayPal (150 X 60),现在接受PayPal（150X60）
Now accepting PayPal (150 X 40),现在接受PayPal（150X40）
Payments by PayPal (150 X 60),用PayPal付款（150X60）
Payments by PayPal (150 X 40),用PayPal付款（150X40）
Shop now using (150 X 60),立刻购物并使用（150X60）
Shop now using (150 X 40),立刻购物并使用（150X40）
Shortcut,快捷方式
Acceptance Mark Image,接受标志图片
Sale,销售
For Virtual Quotes Only,仅用于虚拟产品
Auto,自动
Ask Customer,询问顾客
IPN (Instant Payment Notification) Only,仅IPN (即时付款通知)
API Signature,API签名
API Certificate,API证书
The ordering amount of %1 is pending approval on the payment gateway.,订单总额 %1在付款网关等待批准
Ordered amount of %1,%1 订购数量
We'll authorize the amount of %1 as soon as the payment gateway approves it.,一旦付款方式批准，我们将授权%1的金额
The authorized amount is %1.,授权金额为% 1。
The maximum number of child authorizations is reached.,授权子帐户的最大数量已达到。
"PayPal can't process orders with a zero balance due. ' 'To finish your purchase, please go through the standard checkout process.",paypal不能处理为0金额的订单. 要完成您的购买，请通过标准结帐过程
Payer is not identified.,付款者未经检定。
Last Transaction ID,最新交易ID
This customer did not include a confirmed address.,这个顾客信息未包含经过确认的地址。
The payment is authorized but not settled.,支付已获授权但尚未确定。
The payment eCheck is not yet cleared.,支付的电子支票尚未兑现。
The merchant holds a non-U.S. account and does not have a withdrawal mechanism.,用户持有非美国账户且帐户并没有退出机制
The payment currency does not match any of the merchant's balances currency.,支付货币未与任何一个卖家余额的货币类型匹配
The payment is pending while it is being reviewed by PayPal for risk.,等待支付，因为正在由PayPal进行风险评估。
The payment is pending because it was made to an email address that is not yet registered or confirmed.,等待支付，因为支付使用了一个未经确认的电子邮件地址。
The merchant account is not yet verified.,银行帐户尚未验证。
The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.,支付是通过信用卡进行的。为了收到资金，银行必须将帐户升级为商业或白金状态。
"Sorry, but something went wrong. Please contact PayPal customer service.",对不起，未知错误。请联系Paypal客服
A reversal has occurred on this transaction due to a chargeback by your customer.,由于您的客户退单， 交易发生逆转
A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.,由于你的顾客申请了退款，交易发生了逆转
A reversal has occurred on this transaction due to a complaint about the transaction from your customer.,由于客户投诉，交易发生了逆转
A reversal has occurred on this transaction because you have given the customer a refund.,因为你给客户退款了， 交易发生了逆转 
Reversal of an adjustment.,调整撤销
Transaction reversal due to fraud detected by PayPal administrators.,由于paypal管理人员检测到欺诈， 交易逆转
Transaction reversal by PayPal administrators.,paypal管理人员取消交易
Reimbursement for a chargeback.,偿还退款。
Settlement of a chargeback.,处理返款。
A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.,因为客户提起纠纷怀疑擅自恶搞，交易发生逆转
Buyer claims that he did not receive goods or service.,买家声称没有收到货物或服务。
Buyer claims that the goods or service received differ from merchant’s description of the goods or service.,买方声称收到的货物或服务与描述的货物或服务不符
Buyer claims that he/she did not authorize transaction.,买方声称他/她没有授权交易。
A case that has been resolved and close requires a reimbursement.,已解决和关闭的情况取消偿付
Buyer claims that a possible duplicate payment was made to the merchant.,买家生成对该产品可能重复付款
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.",买方声称收到的商品不满意，损坏，或破损。
Unknown reason. Please contact PayPal customer service.,未知原因。请联系PayPal客户服务。
Payer ID,付款者ID
Payer Email,付款者邮件地址
Payer Status,付款者状态
Payer Address ID,付款者地址ID
Payer Address Status,付款者地址状态
Merchant Protection Eligibility,银行保护的资格
Triggered Fraud Filters,触发的欺诈筛选器
Last Correlation ID,最新关联ID
Address Verification System Response,地址验证系统响应
CVV2 Check Result by PayPal,PayPal的CVV2检查结果
Buyer's Tax ID,买家的纳税人 ID
Buyer's Tax ID Type,买家的纳税人 ID 类型
Chargeback,退款
Complaint,投诉
Dispute,纠纷
Matched Address only (no ZIP),只匹配地址（无邮编）
Matched Address only (no ZIP) International,只匹配地址（无邮编）国际
No Details matched,无匹配资料
No Details matched. International,无匹配资料。国际化
Exact Match. Address and nine-digit ZIP code,完全匹配，地址和九位邮编
Exact Match. Address and Postal Code. International,完全匹配。地址和邮编。国际
Exact Match. Address and Postal Code. UK-specific,完全匹配。地址和邮编。仅限英国
N/A. Not allowed for MOTO (Internet/Phone) transactions,N/A. 不允许MOTO（网络，手机厂商）交易
N/A. Global Unavailable,N/A.全球不可用
N/A. International Unavailable,N/A. 国际不可用
Matched five-digit ZIP only (no Address),只匹配五位邮编（无地址）
Matched Postal Code only (no Address),只匹配邮编（无地址）
N/A. Retry,N/A. 重试
N/A. Service not Supported,N/A. 不支持的服务
N/A. Unavailable,N/A. 不可用
Matched whole nine-didgit ZIP (no Address),只匹配九位邮编（无地址）
Yes. Matched Address and five-didgit ZIP,是的，匹配地址与五位邮编
All the address information matched,所有地址信息都匹配
None of the address information matched,无匹配地址信息
Part of the address information matched,地址信息中部分匹配
N/A. The merchant did not provide AVS information,N/A. 商家未提供AVS信息。
"N/A. Address not checked, or acquirer had no response. Service not available",N/A。地址未检查，或对方行未响应。服务不可用
Matched (CVV2CSC),匹配（CVV2CSC）
No match,无匹配结果
N/A. Not processed,N/A. 未处理
N/A. Service not supported,N/A。服务不支持
N/A. Service not available,N/A. 服务不可用
N/A. No response,N/A. 没有响应
Matched (CVV2),匹配（CVV2）
N/A. The merchant has not implemented CVV2 code handling,N/A. 商家未完成CVV2码的处理
N/A. Merchant has indicated that CVV2 is not present on card,N/A. 商家指出信用卡缺少CVV2码
"Authenticated, Good Result",已身份验证，结果正常
"Authenticated, Bad Result",已身份验证，结果有误
"Attempted Authentication, Good Result",尝试身份验证，结果正常
"Attempted Authentication, Bad Result",尝试身份验证，结果有误
No Liability Shift,无责任转移
Issuer Liability,发卡人责任
CNPJ,CNPJ
CPF,CPF
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". 案例类型 ""%2"". 案件 ID ""%3"" %4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"". 纠纷已解决或关闭. %2 交易总额 %3."
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 交易总额 %3. 交易号: ""%4"""
You notified customer about creditmemo #%1.,你通知了客户信用备忘录 #%1.
Created billing agreement #%1.,创建 帐单协议 #%1.
We couldn't create a billing agreement for this order.,我们不能为这个订单创建账单协议
Payflow PNREF: #%1.,Payflow PNREF: #%1.
Fetch transaction details method does not exists in Payflow,获取交易细节方法不存在于Payflow
We cannot send the new order email.,我们不能发送邮件给新订单
You cannot void a verification transaction.,验证的交易不能为无效
Payment transactions disallow storing objects.,支付交易不允许的店铺对象。
You need to enter a transaction ID.,您需要输入交易ID
This operation requires an existing transaction object.,该操作需要一个现有的交易目标。
You need an authorization transaction to void.,授权交易无效
We can't issue a refund transaction because there is no capture transaction.,我们不能发起退款交易， 因为我们没有捕捉到交易
We cannot create a target file for reading reports.,我们不能为阅读报告创建目标文件
Report Date,报告日期
Merchant Account,银行帐户
Transaction ID,交易ID
Invoice ID,发票ID
PayPal Reference ID,PayPal推荐ID
PayPal Reference ID Type,PayPal推荐ID类型
Event Code,事件代码
Finish Date,完成日期
Debit or Credit,借记卡或信用卡
Gross Amount,总额
Fee Debit or Credit,借记卡或信用卡费用
Fee Amount,费率
Order ID,订单 ID
Subscription ID,订阅ID
Preapproved Payment ID,预审核的支付ID
Credit,信用
Debit,借记
General: received payment of a type not belonging to the other T00xx categories,常规：一种不属于其他T00xx分类的支付收款
Mass Pay Payment,大量付款支付。
"Subscription Payment, either payment sent or payment received",订阅支付，可通过发出或收到的付款进行
"Preapproved Payment (BillUser API), either sent or received",预审核接收或发送的支付（BillUser API）
eBay Auction Payment,eBay拍卖付款
Direct Payment API,直接支付API
Express Checkout APIs,快速结账API
Website Payments Standard Payment,网站支付标准版付款
Postage Payment to either USPS or UPS,USPS或UPS的运费
Gift Certificate Payment: purchase of Gift Certificate,礼品券支付：购买礼品券
Auction Payment other than through eBay,eBay之外的其他拍卖支付
Mobile Payment (made via a mobile phone),移动支付（通过手机进行）
Virtual Terminal Payment,虚拟终端支付
General: non-payment fee of a type not belonging to the other T01xx categories,常规：一种不属于其他T01xx分类的非支付费用
Fee: Web Site Payments Pro Account Monthly,费用：专业帐户月度网站支付
Fee: Foreign ACH Withdrawal,费用：外国ACH撤销
Fee: WorldLink Check Withdrawal,费用：WorldLink支票撤销
Fee: Mass Pay Request,费用：批量付款请求
General Currency Conversion,常规货币转换
User-initiated Currency Conversion,用户发起的货币转换
Currency Conversion required to cover negative balance,货币转换需要考虑余额负值
General Funding of PayPal Account ,PayPal帐户的常规退款
PayPal Balance Manager function of PayPal account,PayPal帐户的PayPal余额管理器功能
ACH Funding for Funds Recovery from Account Balance,来自帐户余额的返款恢复ACH返款
EFT Funding (German banking),EFT返款（德国银行）
General Withdrawal from PayPal Account,来自PayPal帐户的常规撤销
AutoSweep,自动清理
General: Use of PayPal account for purchasing as well as receiving payments,常规：使用PayPal帐户进行付款以及收款
Virtual PayPal Debit Card Transaction,虚拟PayPal借记卡交易
PayPal Debit Card Withdrawal from ATM,从ATM进行PayPal借记卡撤销
Hidden Virtual PayPal Debit Card Transaction,隐藏虚拟PayPal借记卡交易
PayPal Debit Card Cash Advance,PayPal借记卡预付现金
General: Withdrawal from PayPal Account,常规：通过PayPal帐户撤销
General (Purchase with a credit card),常规（使用信用卡购买）
Negative Balance,逆差
General: bonus of a type not belonging to the other T08xx categories,常规：通过一种不再属于其他T08xx类型的奖励
Debit Card Cash Back,借记卡返现
Merchant Referral Bonus,银行推荐奖励
Balance Manager Account Bonus,余额管理器帐户点数
PayPal Buyer Warranty Bonus,PayPal买家担保津贴
PayPal Protection Bonus,PayPal保护津贴
Bonus for first ACH Use,首次使用ACH奖励
General Redemption,常规兑换
Gift Certificate Redemption,礼品券兑换
Points Incentive Redemption,兑换奖励点
Coupon Redemption,代金券兑换
Reward Voucher Redemption,奖励兑换
General. Product no longer supported,常规。产品不在被支持
General: reversal of a type not belonging to the other T11xx categories,常规：不属于其他T11xx分类的保留类型
ACH Withdrawal,ACH撤销
Debit Card Transaction,借记卡交易
Reversal of Points Usage,点数使用情况撤销
ACH Deposit (Reversal),ACH保证金（撤销）
Reversal of General Account Hold,常规帐户保持的撤销
"Account-to-Account Payment, initiated by PayPal",帐户到帐户支付，由PayPal开创
Payment Refund initiated by merchant,由商户发起的支付退款
Fee Reversal,撤销手续费
Hold for Dispute Investigation,保留做争议调查
Reversal of hold for Dispute Investigation,撤销保留的争议调查
General: adjustment of a type not belonging to the other T12xx categories,常规：调整为一种不再属于其他T12xx分类的类型
Reversal,撤销
Charge-off,收取
Incentive,奖励
Reimbursement of Chargeback,退款的偿还
General (Authorization),常规（身份验证）
Reauthorization,撤销授权
Void,无效
General (Dividend),常规（利息）
General: temporary hold of a type not belonging to the other T15xx categories,常规：不属于其他T15xx分类的暂时保留类型
Open Authorization,开放授权
ACH Deposit (Hold for Dispute or Other Investigation),ACH保证金（用作保证或其他调查用途）
Available Balance,可用余额
Funding,退款
General: Withdrawal to Non-Bank Entity,常规：通过非银行实体撤销
WorldLink Withdrawal,WorldLink撤销
Buyer Credit Payment,买家信用支付
General Adjustment without businessrelated event,与业务无关的常规调整
General (Funds Transfer from PayPal Account to Another),常规（从一个PayPal帐户向另一个转移资金）
Settlement Consolidation,合并处理
General: event not yet categorized,常规：事件尚未分类
The PayPal certificate file is empty.,Paypal证书文件为空
Header (center),头部 (中间)
Sidebar (right),侧栏(右边)
Near PayPal Credit checkout button,近 Paypal信用结帐按钮
Every 3 days,每3天
Every 7 days,每7天
Every 10 days,每10天
Every 14 days,每14天
Every 30 days,每30天
Every 40 days,每40天
No Logo,没有标示
Pending PayPal,挂起的PayPal
Billing Agreement,记账协议
Created At,创建于
Updated At,更新于
-- Please Select Billing Agreement--,-- 请选择记账协议 --
"Not sure what PayPal payment method to use? Click <a href=""%1"" target=""_blank"">here</a> to learn more.","不确定使用那种付款方式? 点击 <a href=""%1"" target=""_blank"">here</a> 获取更多"
Important: ,重要: 
"To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website.","要使用paypal高级支付,您必须在paypal网站配置您的paypal付款高级帐户。"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below",如果您登录到您的paypal高级帐户，浏览到服务设置-托管结帐页面-设置菜单和设置以下描述的选项
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","要使用paypal Payflow链接, 您必须在PayPal网站配置你的 paypal Payflow链接帐户。"
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below",如果你登录到您的paypal payflow链接帐户，浏览到服务设置-托管结帐页面-设置菜单和设置以下描述的选项
Agreement Information,协议信息
Reference ID:,参照 ID:
Status:,状态:
Created:,已创建:
Updated:,已更新:
Payment Method:,支付方式:
Ship To,发送至
Back to Billing Agreements,返回记账协议
There are no billing agreements yet.,尚无记账协议。
New Billing Agreement,新建记账协议
You will be redirected to the payment system website.,您将被重定向到付款系统网站
Create...,创建...
Your billing agreement # is: %1.,您的账单协议 # 是: %1.
Review Order,查看订单
Please select a shipping method...,请选择送货方法...
Update Shipping Method,更新送货方法
Edit Payment Information,编辑付款信息
Items in Your Shopping Cart,您购物车中的商品
Edit Shopping Cart,编辑购物车
Please update order data to get shipping methods and rates,请更新订单数据，获取配送方式和价格
Checkout with PayPal,使用PayPal结账
Please do not refresh the page until you complete payment.,请不要刷新该页面，直到付款完成。
You will be required to enter your payment details after you place an order.,下单后，您需要输入付款详情。
Additional Options,其他选项
Acceptance Mark,接受标志
What is PayPal?,什么是PayPal？
Sign a billing agreement to streamline further purchases with PayPal.,与PayPal签署记账协议简化后续购买。
Schedule,更新计划
Size,尺寸
"Sorry, something went wrong.",对不起， 出错了
"Sorry, something went wrong. Please try again later.",对不起， 出错了，请稍候再试
Test Mode,测试模式
Payment Action,支付行为
3D Secure,三维安全
Severe 3D Secure Card Validation,3D安全卡严格验证
Severe Validation Removes Chargeback Liability on Merchant,严格验证移除卖家退单义务
Debug Mode,调试模式
Sandbox Mode,沙盒模式
1,1
Merchant Location,卖家地址
Merchant Country,卖方国家
"If not specified, Default Country from General Config will be used",如果未指定，将使用在<一般配置>里设置的缺省国家
Website Payments Pro (Includes Express Checkout),网站高级支付 (包括快速支付)
Accept payments with a completely customizable checkout.,接受完全可定制的结帐完成整个支付过程
Required PayPal Settings,所需paypal设置
Website Payments Pro and Express Checkout,网站高级支付和快速结账
Enable this Solution,启用此解决方案
Advertise PayPal Credit,paypal信用广告
"
                            <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                        ","
                            <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                        "
Home Page,首页
Catalog Category Page,目录分类页
Catalog Product Page,产品目录页
Checkout Cart Page,结账页面
Basic Settings - PayPal Website Payments Pro,基本设置 - PayPal 网站专业支付
"It is recommended to set this value to ""Debit or Credit Card"" per store views.",建议每个商店界面设置“借记卡或信用卡”这个值
Credit Card Settings,信用卡设定
Allowed Credit Card Types,允许的信用卡类型
"
                            3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.
                        ","
                            3D安全验证需要Maestro卡。支持美国运通卡需要额外的协议. 更多查看 <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.
                        "
Payment Applicable From,付款适合
Countries Payment Applicable From,适合付款的国家
Enable SSL verification,启用SSL验证
Transfer Cart Line Items,Transfer Cart Line Items
Require CVV Entry,需要输入CVV码
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.",如果为空，将使用默认值。自定义URL可以被CardinalCommerce协议支持.
PayPal Billing Agreement Settings,Paypal自动扣款设置
Settlement Report Settings,结算报告设置
Frontend Experience Settings,前台体验设置
Basic Settings - PayPal Express Checkout,基本设置- PayPal快速支付
Website Payments Standard,网站标准支付
Accept credit card and PayPal payments securely.,安全接受信用卡和PayPal付款。
Basic Settings - PayPal Website Payments Standard,基本设置 - PayPal 网站标准支付
"It is recommended to set this value to ""PayPal"" per store views.",对于每一个商店界面，推荐设置该值为””Paypal”
Summary Text for Aggregated Cart,所有购物车的文本摘要
Uses store frontend name by default.,默认使用商店前台名字
Payflow Pro,Payflow Pro
Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.,用一个完全可定制的网关让客户直接在您网站支付的方式连接您的客户账户
Partner,合作者
Vendor,销售
Use Proxy,使用代理
Proxy Host,代理主机
Proxy Port,代理服务器端口
Basic Settings - PayPal Payflow Pro,基本设置 - PayPal Payflow Pro
"
                            Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.
                        ","支持美国运通卡需要额外协议。 进一步详情见 <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.
                        "
Severe validation removes chargeback liability on merchant.,严格验证移除卖家退单义务
A value is required for live mode. Refer to your CardinalCommerce agreement.,实时模式需要一个值。请参考您与CardinalCommerce的协议
Payflow Link (Includes Express Checkout),Payflow Link (包括快速支付)
Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.,一个符合标准的网关，让客户直接在您的网站支付的方式连接您的客户账户
Payflow Link and Express Checkout,Payflow 链接和快速支付
Email Associated with PayPal Merchant Account (Optional),与Paypal卖家账号关联的Email地址（可选）
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here."
Enable Payflow Link,启动 Payflow链接
Enable Express Checkout,启动快速支付
PayPal Settlement,PayPal结算